OBJECTID,study_id,site_id,number_sites,latitude_decimal,longitude_decimal,biome_IGBP,Gridded_IGBP,Biome,Biome_rough,Extracted_IGBP_Biome,forest_type,mat_c,map_mm,elevation_asl_m,data_type,pub_year,ref,collected_by,notes,Field16,Biome_decription_from_paper,Extracted_USDA_soil_taxonomy_suborders,Extracted_Terraclimate_ppt_2000_2020,Extracted_Terraclimate_mat_2000_2020,Extracted_Terraclimate_aet_2000_2020,Extracted_SoilGrids_pH,Extracted_SoilGrids_organiccarbon,Extracted_SoilGrids_nitrogen,Extracted_soil_total_phosphorus,Extracted_FluxCom_NEE_2001_2015,Extracted_FluxCom_GPP_2001_2015,Extracted_NPP_MODIS,Extracted_IGBP_Biome,N_Dep1,DtB1,Elevation,Roughness,Slope,Extracted_Seasonality,ExtractBNF1,ExtractNloss1
68,46,46.3,1,13.55,2.68,savanna,Grasslands,Grassland,Grassland,10,,ND,540,ND,field flux,1998,"Serca, D., R. Delmas, X. Le Roux, D. Parsons, M. Scholes, L. Abbadie, R. Lensi, O. Ronce, and L. Labroue. 1998. Comparison of nitrogen monoxide emissions from several African tropical ecosystems and influence of season and fire. GLOBAL BIOGEOCHEMICAL CYCLES 12:637–651.",CF,,,savanna,97,477.0857239,29.82514,440.2809448,56,25,34,258.7848816,0.149608642,0.546913862,0,10,313.1000061,12977,218.5,5,0.422102243,139.6446075,2.476345778,1.988074064
433,264,264.1,1,3.37,101.27,wetland,Grasslands,Permanent Wetlands,Permanent Wetlands,10,,ND,ND,ND,lab flux,2015,"D. J. Dowrick, C. Freeman, M. A. Lock & Fatimah Md Yusoff (2015) Using Thermal Sensitivity Analysis to Determine the Impact of Drainage on the Hydrochemistry of a Tropical Peat Soil from Malaysia, Communications in Soil Science and Plant Analysis, 46:17, 2168-2176, DOI: 10.1080/00103624.2015.1069318",SL,,,swamp,11,2483.423828,27.88500023,1227.509521,51,1016,379,,-0.976907849,7.614582062,0,10,1664.079956,1376,7,3,0.180392995,28.35326195,,
347,211,211.2,1,12.22,-2.71,"""savanna woodland""",Grasslands,Woody Savannas,Savannas,10,ND,ND,862,257,field flux,2019,"van Straaten, O., S. Doamba, M. Corre, and E. Veldkamp. 2019. Impacts of burning on soil trace gas fluxes in two wooded savanna sites in Burkina Faso. JOURNAL OF ARID ENVIRONMENTS 165:132–140.",JVO,Tiogo,,"""savanna woodland""",82,796.5476074,28.61962318,733.2047729,63,131,115,447.2547607,-0.203955784,1.88118422,0.0033,10,1136.180054,10624,259,2,0.190643191,118.4721527,4.640254974,6.509587288
204,125,125.3,1,13.08,3,"""dry fallow savannah",Grasslands,Grassland,Grassland,10,,ND,540,ND,lab flux,1995,"LEROUX, X., L. ABBADIE, R. LENSI, and D. SERCA. 1995. EMISSION OF NITROGEN MONOXIDE FROM AFRICAN TROPICAL ECOSYSTEMS - CONTROL OF EMISSION BY SOIL CHARACTERISTICS IN HUMID AND DRY SAVANNAS OF WEST-AFRICA. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 100:23133–23142.",JVO,,,"""dry fallow savannah",82,552.5428467,29.63545609,509.2666626,58,45,54,304.8571777,0.09500739,0.692647755,0.0043,10,1301,9316,245,3.5,0.312387675,136.2058411,2.48857522,2.358861685
40,23,23.1,1,15.4,-15.43,grassland tropical C4,Grasslands,Grassland,Grassland,10,pasture,29,416,,field flux,2020,"Bigaignon, L., C. Delon, O. Ndiaye, C. Galy-Lacaux, D. Serca, F. Guerin, T. Tallec, L. Merbold, T. Tagesson, R. Fensholt, S. Andre, and S. Galliau. 2020. Understanding N2O Emissions in African Ecosystems: Assessments from a Semi-Arid Savanna Grassland in Senegal and Sub-Tropical Agricultural Fields in Kenya. SUSTAINABILITY 12.",CF,*semi-arid savanna used as a grazed rangeland with tree cover around 3%. According to IGBP this has too little tree cover to be a savanna (10%),,,97,455.5762024,28.72745895,423.7238159,64,62,63,276.2307739,-0.005026465,1.060503721,0.0049,10,143.2100067,14062,48.5,4.5,0.2187583,147.3557434,0.77317822,0.920392275
223,132,132.1,1,15.4,-15.43,grassland tropical C4,Grasslands,Grassland,Grassland,10,Pasture,28.5,355-514,40,field flux,2017,"Delon, C., C. Galy-Lacaux, D. Serca, B. Loubet, N. Camara, E. Gardrat, I. Saneh, R. Fensholt, T. Tagesson, V. Le Dantec, B. Sambou, C. Diop, and E. Mougin. 2017. Soil and vegetation-atmosphere exchange of NO, NH3, and N2O from field measurements in a semi arid grazed ecosystem in Senegal. ATMOSPHERIC ENVIRONMENT 156:36–51.",CF,** grazed but seemingly unmanaged,,pasture - grassland tropical C4,97,455.5762024,28.72745895,423.7238159,64,62,63,276.2307739,-0.005026465,1.060503721,0.0049,10,143.2100067,14062,48.5,4.5,0.2187583,147.3557434,0.77317822,0.920392275
171,101,101.1,1,10.84,-3.15,grassland tropical C4,Grasslands,Grassland,Grassland,10,ND,29.5,926,ND,field flux,2009,"Brummer, C., H. Papen, R. Wassmann, and N. Bruggemann. 2009. Termite mounds as hot spots of nitrous oxide emissions in South-Sudanian savanna of Burkina Faso (West Africa). GEOPHYSICAL RESEARCH LETTERS 36.",CF,"* coordinates from googling nearest town Bontioli, Burkina Faso",,grassland tropical C4,82,981.0380859,28.21815491,866.0618896,65,121,92,370.4744873,-0.363438845,2.531372309,0.054499999,10,1136.180054,9132,256,4,0.364692152,102.4648743,2.062106848,1.870473862
346,211,211.1,1,11.23,-4.45,"""savanna woodland""",Grasslands,Woody Savannas,Savannas,10,ND,ND,1010,359,field flux,2019,"van Straaten, O., S. Doamba, M. Corre, and E. Veldkamp. 2019. Impacts of burning on soil trace gas fluxes in two wooded savanna sites in Burkina Faso. JOURNAL OF ARID ENVIRONMENTS 165:132–140.",JVO,Dinderesso,,"""savanna woodland""",82,990.9381104,28.14208221,877.852356,64,142,141,371.3766785,-0.455914348,2.585340261,0.070799999,10,864.8400269,9335,359,17,1.645246744,108.9351273,2.680082083,3.405414581
446,276,276.5,2,-19.07,-57.33,wetland,Evergreen Broadleaf Forests,Permanent Wetlands,Permanent Wetlands,2,,ND,ND,ND,field flux,2012,"Liengaard L, Nielsen LP, Revsbech NP, Priemé A, Elberling B, Enrich-Prast A, Kühl M. Extreme emission of n(2)o from tropical wetland soil (pantanal, South america). Front Microbiol. 2013 Jan 4;3:433. doi: 10.3389/fmicb.2012.00433. PMID: 23293634; PMCID: PMC3537118.",SL,,,tropical wetland,98,1004.442871,26.41343307,923.5999756,59,245,235,506.4078064,-0.886310458,4.263399124,0.103900001,2,696.2199707,2664,89,9,0.474799573,61.46424484,7.548666954,3.221273899
248,153,153.1,1,10.33,79.53,mangrove,Barren,Mangrove,Permanent Wetlands,16,,ND,ND`,ND,field flux,2008,"Krithika, K., R. Purvaja, and R. Ramesh. 2008. Fluxes of methane and nitrous oxide from an Indian mangrove. CURRENT SCIENCE 94:218–224.",JVO,"*as I undserstand it, they measured flux at the interface of soil and water in the mangrove",,mangrove,,1277.119019,28.40311432,1095.114258,,,,,,,0.117299996,16,2059.709961,,0,3,0.114543729,93.89610291,,
