Lat,Long,PresAbs,Type
8.41,-83.33,1,BNF
18.33,-65.82,1,BNF
19.83,-96.45,1,BNF
19.57,-96.45,1,BNF
23.17,112.17,1,BNF
21.45,110.9,1,BNF
-15.93,-47.85,1,BNF
-15.93,-47.85,1,BNF
-15.93,-47.85,1,BNF
-10.5,-62.5,1,BNF
-3.07,-54.98,1,BNF
21.92,101.27,1,BNF
5.25,-52.92,1,BNF
-22,29.91,1,BNF
-21.42,29.69,1,BNF
-20.49,29.04,1,BNF
-19.69,28.4,1,BNF
-18.6,27.07,1,BNF
-18.16,25.99,1,BNF
-17.93,25.85,1,BNF
-18.73,27.95,1,BNF
-19.93,28.51,1,BNF
-19.93,29.01,1,BNF
-19.69,29.57,1,BNF
-19.3,29.79,1,BNF
-18.12,30.21,1,BNF
-17.85,31.25,1,BNF
-16.14,29.4,1,BNF
-16.17,29.2,1,BNF
-17.49,30.55,1,BNF
-18.05,31.39,1,BNF
-18.18,31.47,1,BNF
-18.11,31.82,1,BNF
-20.24,30.96,1,BNF
17.97,-67.05,1,BNF
19.41,-155.28,1,BNF
19.5,109.48,1,BNF
18.3,-65.8,1,BNF
20.83,-156.28,1,BNF
15.4,-15.43,1,BNF
-0.43,34.21,1,BNF
-21.36,55.74,1,BNF
9.1,-79.9,1,BNF
-1.42,120.28,1,BNF
23.15,112.52,1,BNF
18.28,-65.78,1,BNF
-2.5,-60.02,1,BNF
19.5,96.93,1,BNF
-4.29,11.66,1,BNF
10.43,-84.01,1,BNF
10.43,-84.01,1,BNF
-2.98,-47.52,1,BNF
18.31,-65.75,1,BNF
8.93,-67.42,1,BNF
10.03,-84.92,1,BNF
16.56,107.609722,1,BNF
18.72,108.88,1,BNF
18.72,108.88,1,BNF
18.3,-65.83,1,BNF
-18.04,145.98,1,BNF
4.99,-52.45,1,BNF
5.16,-52.65,1,BNF
18.67,-91.5,1,BNF
2.98,102.3,1,BNF
18.33,-65.82,1,BNF
-4.2,12.45,1,BNF
-4,15.5,1,BNF
13.55,2.68,1,BNF
6.22,-5.03,1,BNF
0.29,25.3,1,BNF
0.3,25.28,1,BNF
6.22,-5.33,1,BNF
9.95,-83.83,1,BNF
-19.78,47.1,1,BNF
19.6,-96.37,1,BNF
-15.93,-47.85,1,BNF
10.43,-84,1,BNF
-10.5,-62.5,1,BNF
-10.5,-62.5,1,BNF
19.421111,-155.286667,1,BNF
9.91,-83.68,1,BNF
19.479444,-155.602778,1,BNF
10.43,-84,1,BNF
10.43,-84,1,BNF
-2.9621,-59.9318,1,BNF
6.69,-1.65,1,BNF
-2.89,-59.97,1,BNF
-17.27,145.9,1,BNF
18.3,-65.83,1,BNF
-12.9,-71.38,1,BNF
-13.05,-71.54,1,BNF
-13.12,-71.62,1,BNF
-4.06,-73.19,1,BNF
-12.47,-69.18,1,BNF
-2.63,-64.59,1,BNF
-21.02,-44.09,1,BNF
9.62,-83.85,1,BNF
11.04,-84.69,1,BNF
-2.9,-54.95,1,BNF
6.22,-5.33,1,BNF
6.22,-5.33,1,BNF
6.22,-5.33,1,BNF
