study_id,ref,BNF_or_Denit,data_type,number_sites,latitude_decimal,longitude_decimal,biome_manuscript,Biome_rough,Extracted_Terraclimate_ppt_2000_2020,Extracted_Terraclimate_mat_2000_2020,Extracted_Terraclimate_aet_2000_2020,Extracted_SoilGrids_pH,Extracted_SoilGrids_organiccarbon,Extracted_SoilGrids_nitrogen,Extracted_soil_total_phosphorus,Extracted_FluxCom_NEE_2001_2015,Extracted_FluxCom_GPP_2001_2015,Extracted_NPP_MODIS,Extracted_N_Dep,Extracted_DtB,Extracted_Elevation,Extracted_Roughness,Extracted_Slope,Extracted_Seasonality,Extracted_modelBNF,Extracted_modelNloss
1,"Soper, F., B. Sullivan, M. Nasto, B. Osborne, D. Bru, C. Balzotti, P. Taylor, G. Asner, A. Townsend, L. Philippot, S. Porder, and C. Cleveland. 2018. Remotely sensed canopy nitrogen correlates with nitrous oxide emissions in a lowland tropical rainforest. ECOLOGY 99:2080–2089.",Denitrification,flux,1,8.41,-83.33,evergreen broadleaf tropical forests,EBF,3116.638184,25.82138824,1277.19043,56,396,378,,,,1.002500057,370.2799988,4261,161.5,79,7.214037418,64.45278931,,
2,"Quebbeman, A., D. Menge, G. Arellano, J. Hall, T. Wood, J. Zimmerman, and M. Uriarte. 2022. A Severe Hurricane Increases Carbon Dioxide and Methane Fluxes and Triples Nitrous Oxide Emissions in a Tropical Forest. ECOSYSTEMS 25:1754–1766.",Denitrification,flux,1,18.33,-65.82,evergreen broadleaf tropical forests,EBF,2363.276123,22.05672455,1278.742798,,,,469.2328796,-1.317179084,7.512785912,1.639400005,214.8999939,1823,247,110.5,10.21371651,28.18081474,,
3,"Hernandez, M., and D. Junca-Gomez. 2020. Carbon stocks and greenhouse gas emissions (CH4 and N2O) in mangroves with different vegetation assemblies in the central coastal of Veracruz Mexico. SCIENCE OF THE TOTAL ENVIRONMENT 741.",Denitrification,field flux,1,19.57,-96.45,mangrove,Permanent Wetlands,1068.423828,25.12783813,901.8475952,65,290,210,,-1.216576219,5.002851486,1.157500029,282.3599854,176,120.5,99,8.854791641,97.24519348,,
3,"Hernandez, M., and D. Junca-Gomez. 2020. Carbon stocks and greenhouse gas emissions (CH4 and N2O) in mangroves with different vegetation assemblies in the central coastal of Veracruz Mexico. SCIENCE OF THE TOTAL ENVIRONMENT 741.",Denitrification,field flux,2,19.83,-96.45,mangrove,Permanent Wetlands,1300.323853,25.49517822,1040.095215,66,416,333,,-1.632959962,5.87035656,1.338500023,282.3599854,25,1.5,11.5,1.320295095,80.08032227,,
4,"Nie, Y., X. Han, J. Chen, M. Wang, and W. Shen. 2019. The simulated N deposition accelerates net N mineralization and nitrification in a tropical forest soil. BIOGEOSCIENCES 16:4277–4291.",Denitrification,field flux,1,23.17,112.17,evergreen broadleaf tropical forests,EBF,1758.133301,22.06541824,1059.62854,52,436,375,432.7008667,-1.141399264,5.736589432,1.284999967,,821,151,107,7.634211063,67.66860199,4.595430374,5.257109165
5,"Gong, Y., F. Sun, F. Wang, H. Lambers, Y. Li, Q. Zhong, J. Chen, Z. Li, and M. Wang. 2022. The mechanisms and potentially positive effects of seven years of delayed and wetter wet seasons on nitrous oxide fluxes in a tropical monsoon forest. GEODERMA 412.",Denitrification,field flux,1,21.45,110.9,evergreen broadleaf tropical forests,EBF,1829.909546,23.52152824,1153.085693,59,251,331,,-0.336809963,3.384120464,0.728100002,3984.610107,4396,36,14,0.924640775,72.94723511,,
6,"POTH, M., I. ANDERSON, H. MIRANDA, A. MIRANDA, and P. RIGGAN. 1995. THE MAGNITUDE AND PERSISTENCE OF SOIL NO, N2O, CH4, AND CO, FLUXES FROM BURNED TROPICAL SAVANNA IN BRAZIL. GLOBAL BIOGEOCHEMICAL CYCLES 9:503–513.",Denitrification,field flux,1,-15.93,-47.85,deciduous broadleaf tropical forests,DBF,1475.528564,20.96635056,878.3428345,51,250,162,413.9776306,-0.749696732,2.978783369,1.031100035,1318.650024,4536,1160.5,6.5,0.572941184,78.92298126,15.02650928,8.596644402
6,"POTH, M., I. ANDERSON, H. MIRANDA, A. MIRANDA, and P. RIGGAN. 1995. THE MAGNITUDE AND PERSISTENCE OF SOIL NO, N2O, CH4, AND CO, FLUXES FROM BURNED TROPICAL SAVANNA IN BRAZIL. GLOBAL BIOGEOCHEMICAL CYCLES 9:503–513.",Denitrification,field flux,1,-15.93,-47.85,closed shrubland,Savannas,1475.528564,20.96635056,878.3428345,51,250,162,413.9776306,-0.749696732,2.978783369,1.031100035,1318.650024,4536,1160.5,6.5,0.572941184,78.92298126,15.02650928,8.596644402
6,"POTH, M., I. ANDERSON, H. MIRANDA, A. MIRANDA, and P. RIGGAN. 1995. THE MAGNITUDE AND PERSISTENCE OF SOIL NO, N2O, CH4, AND CO, FLUXES FROM BURNED TROPICAL SAVANNA IN BRAZIL. GLOBAL BIOGEOCHEMICAL CYCLES 9:503–513.",Denitrification,field flux,1,-15.93,-47.85,tropical savanna,Savannas,1475.528564,20.96635056,878.3428345,51,250,162,413.9776306,-0.749696732,2.978783369,1.031100035,1318.650024,4536,1160.5,6.5,0.572941184,78.92298126,15.02650928,8.596644402
7,"Garcia-Montiel, D., J. Melillo, P. Steudler, C. Cerri, and M. Piccolo. 2003. Carbon limitations to nitrous oxide emissions in a humid tropical forest of the Brazilian Amazon. BIOLOGY AND FERTILITY OF SOILS 38:267–272.",Denitrification,field flux,1,-10.5,-62.5,? tropical forest,EBF,2060.695313,25.28527832,948.2571411,46,260,209,279.5707092,-1.05326128,5.229285717,0.898699999,619.5499878,2233,180.5,36,3.258407593,70.30213928,13.84524727,8.724762917
